ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"100nF"	"C3"	"C0603"	"1"	"CC0603KRX7R9BB104"	"YAGEO(国巨)"	"LCSC"	"C14663"	""
"2"	"1uF"	"C4"	"C0603"	"1"	"CL10A105KB8NNNC"	"SAMSUNG(三星)"	"LCSC"	"C15849"	"0.001"
"3"	"C691436"	"H1,H2"	"HDR-TH_10P-P2.00-V-F"	"2"	"C691436"	"BOOMELE(Boom Precision Elec)"	"LCSC"	"C691436"	"0.017"
"4"	"1TS005A-2500-5001"	"SW1"	"SW-TH_4P-L6.0-W6.0-P3.90-LS6.5"	"1"	"1TS005A-2500-5001"	"HYP(鸿源精密)"	"LCSC"	"C255811"	"0.005"
"5"	"2.54-2*20"	"U3"	"HDR-TH_40P-P2.54-V-F-R2-C20-S2.54"	"1"	"2.54-2*20"	"ZHOURI(洲日)"	"LCSC"	"C2977589"	"0.04"
"6"	"U-D-M5DD-Y-2"	"USB1"	"MICRO-USB-TH_MICRO-USB-A6"	"1"	"U-D-M5DD-Y-2"	"韩国韩荣"	"LCSC"	"C145794"	"0.029"
